1944, 2024-07-24 18:22:13.261848, <built-in method title of str object at 0x00007FFC721A29A0>, <built-in method title of str object at 0x00007FFC721A2850>, er, <built-in method title of str object at 0x00000105E7C81BB0>, NL, TTTTTT, 5556667777, 7778889999, 1, N, N, N,
 1944, 2024-07-24 18:42:15.104675, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, -9154, -9154, 1, Y, Y, Y,
 1944, 2024-07-24 18:53:17.080777, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, -9154, -9154, 1, Y, Y, Y,
 1944, 2024-07-24 18:53:24.420592, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, -9154, -9154, 1, Y, Y, Y,
 1944, 2024-07-24 18:54:25.026456, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, -9154, -9154, 1, Y, Y, Y,
 1944, 2024-07-24 18:56:07.346342, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, -9154, -9154, 1, Y, Y, Y,
 1944, 2024-07-24 18:57:44.355557, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, -9154, -9154, 1, Y, Y, Y,
 1944, 2024-07-24 18:58:24.902483, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, -9154, -9154, 1, Y, Y, Y,
 1944, 2024-07-24 18:58:56.847273, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, -9154, -9154, 1, Y, Y, Y,
 1944, 2024-07-24 18:59:22.590385, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, -9154, -9154, 1, Y, Y, Y,
 1944, 2024-07-24 18:59:54.405653, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, -9154, -9154, 1, Y, Y, Y,
 1944, 2024-07-24 19:00:02.328226, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, -9154, -9154, 1, Y, Y, Y,
 1945, 2024-07-24 19:23:22.942271, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, -9154, -9154, 1, Y, Y, Y,
 1944, 2024-07-24 19:23:32.703653, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, -9154, -9154, 1, Y, Y, Y,
 1944, 2024-07-24 19:24:52.014857, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:26:57.194451, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:28:23.993703, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
